Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),predicted_risk,pred_high_risk_prob,actual_risk_category
"Designer, jewellery",Education,Decreasing,Moderate,96069.1,PhD,14,8217,7224,83.94,12.41,Canada,79.79,2,0.4463036972818418,0
Ceramics designer,Education,Increasing,Moderate,131630.34,Bachelor’s Degree,15,6037,7153,43.52,42.44,India,58.94,2,0.4462671248035184,1
"Social research officer, government",Entertainment,Increasing,Moderate,116623.55,PhD,6,2140,8859,89.78,38.51,USA,70.11,2,0.4462491335186229,1
Lawyer,Finance,Increasing,Low,119534.16,PhD,13,8832,1648,14.16,81.2,Brazil,30.95,2,0.4462330198904372,2
"Teacher, early years/pre",Retail,Increasing,Moderate,144503.78,High School,2,7755,1391,25.53,45.65,Germany,28.05,2,0.44621879892616306,1
Theatre director,Finance,Increasing,Moderate,34155.24,PhD,5,6219,5429,60.72,44.13,Brazil,29.13,2,0.44621576782339395,1
Corporate investment banker,Finance,Increasing,High,90167.02,PhD,18,434,5069,94.56,90.63,Australia,27.93,2,0.4462123537218396,2
Air traffic controller,Transportation,Decreasing,Moderate,77348.73,Associate Degree,12,3018,3001,62.14,80.01,India,78.18,2,0.446200688796441,2
Visual merchandiser,Healthcare,Decreasing,Moderate,58549.17,Associate Degree,10,5824,2582,93.79,71.07,Canada,69.07,2,0.44619727506956625,2
"Lecturer, further education",IT,Decreasing,High,120222.31,Bachelor’s Degree,11,3459,7530,60.68,74.96,UK,45.65,2,0.4461645039037492,2
Aid worker,Transportation,Increasing,High,120453.95,Master’s Degree,18,9667,1677,48.78,84.59,UK,61.75,2,0.44615480772622484,2
Gaffer,Manufacturing,Increasing,Low,85879.21,Master’s Degree,4,7311,2193,77.96,54.85,Brazil,58.11,2,0.4461471540398569,1
Dance movement psychotherapist,Healthcare,Decreasing,Low,56428.24,PhD,14,4151,630,35.38,63.9,Canada,54.37,2,0.4461308415606338,2
Ship broker,Manufacturing,Increasing,High,61249.05,Associate Degree,7,7206,8658,90.93,36.54,Canada,58.27,2,0.4461249167868551,1
Multimedia specialist,Retail,Increasing,Low,94824.73,Associate Degree,15,6104,124,34.58,79.79,Germany,30.07,2,0.4460993405267701,2
Theatre manager,Retail,Decreasing,High,123034.2,Master’s Degree,5,6189,8695,4.16,9.48,China,59.09,2,0.44608872842196184,0
Airline pilot,Transportation,Decreasing,High,81823.3,Associate Degree,4,4270,9579,83.29,59.27,Australia,52.3,2,0.44608058410048324,1
Media planner,Education,Increasing,Low,88977.46,High School,3,2611,6286,86.3,90.93,India,31.82,2,0.44604837550138127,2
Phytotherapist,IT,Decreasing,Moderate,125311.37,Associate Degree,14,8069,7048,75.27,14.87,China,73.14,2,0.4460227506167896,0
Phytotherapist,Manufacturing,Increasing,Low,40508.91,Bachelor’s Degree,12,2478,3734,14.92,90.21,India,48.41,2,0.4460054494459291,2
Chiropractor,Transportation,Increasing,High,59852.64,High School,4,1644,5765,33.44,97.48,Brazil,51.26,2,0.44599139745964095,2
"Engineer, control and instrumentation",Manufacturing,Increasing,Low,70432.0,Bachelor’s Degree,1,2589,2966,27.35,47.9,Canada,31.06,2,0.44598634202091253,1
"Engineer, materials",Finance,Increasing,Moderate,104275.25,Bachelor’s Degree,12,4614,8869,82.22,63.9,Germany,52.14,2,0.44598059356178904,2
Financial planner,Entertainment,Increasing,Moderate,92827.03,Associate Degree,8,6355,1110,71.49,57.86,Germany,66.55,2,0.4459778547211207,1
Forest/woodland manager,Transportation,Decreasing,High,63369.72,Associate Degree,15,1706,8359,87.36,18.72,India,75.96,2,0.44596900699635955,0
Learning mentor,Healthcare,Increasing,High,128554.36,High School,3,5453,4165,5.67,88.51,USA,75.49,2,0.44593126938879896,2
Ergonomist,Retail,Increasing,Moderate,37889.11,Master’s Degree,5,2018,9628,94.92,64.91,China,35.78,2,0.44589859705303614,2
Youth worker,Retail,Decreasing,High,36692.97,High School,1,2871,1563,7.14,76.33,Australia,33.53,2,0.44588114018253333,2
Purchasing manager,Education,Decreasing,Moderate,147273.28,PhD,18,6776,6121,72.98,54.94,Australia,40.63,2,0.44587868069932496,1
Professor Emeritus,Entertainment,Decreasing,High,36678.96,Associate Degree,0,1156,270,12.55,13.57,Germany,36.52,2,0.44586702130982053,0
Orthoptist,Retail,Decreasing,Low,67202.8,Bachelor’s Degree,16,8566,4718,55.57,9.97,India,33.34,2,0.4458627296752544,0
Youth worker,Education,Increasing,Low,135209.1,High School,0,7987,5903,90.38,60.82,Australia,57.4,2,0.445848365489752,2
Midwife,Education,Increasing,High,113600.33,High School,4,146,4944,56.71,64.25,Germany,49.22,2,0.44583924860685425,2
"Scientist, marine",Finance,Increasing,Moderate,118548.85,Master’s Degree,2,5845,5939,57.91,7.42,Australia,27.66,2,0.44582128986502395,0
Production manager,Education,Decreasing,Moderate,65674.01,PhD,10,3236,4152,93.05,70.6,Canada,38.39,2,0.44580073922211455,2
Music therapist,Education,Increasing,Moderate,35752.27,Bachelor’s Degree,14,8733,3170,57.61,3.87,Brazil,51.86,2,0.4457904913922193,0
Public librarian,Healthcare,Decreasing,Low,82598.49,High School,5,3440,7934,29.02,11.06,India,63.09,2,0.44575387191061044,0
"Engineer, civil (contracting)",Finance,Decreasing,Low,37645.12,Master’s Degree,2,150,8334,36.3,0.35,Canada,77.4,2,0.4457412018338619,0
Product manager,IT,Increasing,Moderate,127437.62,Associate Degree,10,2155,8854,42.27,35.52,China,46.01,2,0.44572486140147516,1
Higher education lecturer,Retail,Decreasing,Moderate,136979.68,Associate Degree,13,2251,8687,66.39,62.39,Australia,27.78,2,0.44572090935878517,2
Tree surgeon,Manufacturing,Decreasing,Moderate,34156.18,Bachelor’s Degree,2,3359,6542,90.92,51.22,Brazil,79.54,2,0.4457162316970187,1
"Engineer, chemical",Transportation,Increasing,High,72914.02,Associate Degree,6,6654,3646,32.6,31.07,India,72.91,2,0.4457128377928553,1
Animal nutritionist,Education,Decreasing,Moderate,52302.41,Bachelor’s Degree,5,3791,6822,81.74,30.21,Brazil,72.29,2,0.44569709723652723,1
"Pilot, airline",IT,Increasing,Moderate,109844.18,Bachelor’s Degree,0,9789,167,59.69,36.89,USA,58.08,2,0.44568481764520135,1
"Engineer, technical sales",Transportation,Decreasing,Low,125557.0,Associate Degree,3,5679,5396,97.26,50.27,USA,67.81,2,0.44567941053319077,1
TEFL teacher,Retail,Increasing,Low,127797.91,Associate Degree,20,6548,6893,57.86,88.89,Australia,76.41,2,0.44567181903262154,2
Midwife,IT,Decreasing,High,79174.79,Associate Degree,18,5290,7032,95.66,61.95,Brazil,51.05,2,0.44566175352652226,2
Systems developer,Education,Increasing,Moderate,99728.68,PhD,5,297,5297,50.75,31.16,Brazil,60.78,2,0.44565305505986924,1
Transport planner,Entertainment,Increasing,Low,70174.56,Associate Degree,2,4803,2666,29.62,80.76,Brazil,33.65,2,0.44564940580265705,2
"Surveyor, quantity",Healthcare,Increasing,Moderate,36268.33,PhD,10,2093,3577,6.03,80.97,Canada,25.19,2,0.4456421233203697,2
"Conservator, furniture",Retail,Decreasing,High,34612.55,Master’s Degree,19,7187,4339,69.06,17.04,China,21.45,2,0.44563199382341406,0
Video editor,Retail,Increasing,Moderate,70779.47,Associate Degree,2,9811,5961,39.66,62.36,India,45.88,2,0.4456266683192759,2
Art gallery manager,IT,Decreasing,Moderate,83718.02,Associate Degree,4,6459,2607,38.85,85.06,China,74.43,2,0.44561612238390075,2
"Surveyor, rural practice",Manufacturing,Increasing,Moderate,72970.97,Associate Degree,10,5972,8108,78.05,73.35,Canada,66.92,2,0.44558309073357616,2
Youth worker,Transportation,Increasing,Moderate,126172.01,PhD,6,1009,3426,32.39,42.83,China,60.03,2,0.44558065765814103,1
Naval architect,IT,Increasing,Low,141107.85,Associate Degree,11,9141,9789,54.93,87.07,Australia,49.77,2,0.4455767089544002,2
English as a foreign language teacher,Manufacturing,Decreasing,Moderate,113617.01,High School,18,8198,4389,51.1,71.73,China,67.3,2,0.4455711259275523,2
"Restaurant manager, fast food",Finance,Increasing,Moderate,37759.22,High School,3,4160,9416,15.44,87.81,India,28.32,2,0.44553569692827516,2
"Clinical scientist, histocompatibility and immunogenetics",Healthcare,Increasing,Low,97344.15,PhD,9,7580,2089,32.99,9.73,Canada,64.88,2,0.44552407139757927,0
"Surveyor, hydrographic",IT,Decreasing,High,115899.46,Bachelor’s Degree,16,435,3272,30.97,3.65,India,21.04,2,0.44550681303730916,0
Administrator,Manufacturing,Increasing,High,119425.97,Bachelor’s Degree,16,6755,8594,90.93,98.98,USA,56.15,2,0.44547467370746474,2
Waste management officer,Education,Increasing,Moderate,54856.72,Associate Degree,5,1377,3771,7.93,79.13,Australia,57.53,2,0.44546369328783375,2
Materials engineer,Manufacturing,Increasing,High,117155.51,Bachelor’s Degree,2,2671,1161,60.57,87.33,India,61.36,2,0.44545182459207877,2
Airline pilot,Finance,Increasing,Low,146808.7,PhD,6,6941,4241,20.57,87.02,Germany,53.2,2,0.4454452506768535,2
Metallurgist,Entertainment,Increasing,Moderate,64390.65,Associate Degree,12,1181,1653,97.06,53.24,Germany,63.69,2,0.44542942722006695,1
"Surveyor, quantity",Finance,Increasing,High,67293.48,High School,6,6891,8654,38.32,3.31,Australia,75.2,2,0.4454267775206592,0
Learning mentor,Manufacturing,Decreasing,High,76794.64,Bachelor’s Degree,10,1378,4569,48.94,55.23,Germany,74.27,2,0.44541000080249393,1
"Administrator, sports",Education,Increasing,Low,55463.79,High School,9,3244,4409,49.85,87.48,China,47.93,2,0.4454099873310346,2
Office manager,Manufacturing,Increasing,High,142466.64,High School,17,5126,8125,29.35,70.07,Canada,51.42,2,0.44537846389190494,2
Barrister,Entertainment,Decreasing,High,138387.42,Bachelor’s Degree,20,781,5949,14.21,55.81,UK,32.04,2,0.44537041466277155,1
Film/video editor,Entertainment,Increasing,High,90623.17,PhD,17,3851,1235,81.95,79.09,Germany,45.45,2,0.4453652776892672,2
"Biochemist, clinical",IT,Decreasing,Moderate,70122.33,Bachelor’s Degree,8,9035,7918,75.5,36.75,USA,44.64,2,0.44534805273880956,1
Chief Operating Officer,Transportation,Increasing,Moderate,135729.51,High School,0,7842,318,13.38,72.46,India,42.33,2,0.445338584070898,2
Training and development officer,Education,Increasing,High,134238.53,Associate Degree,12,9415,8412,75.83,75.31,UK,54.18,2,0.445319201783834,2
Brewing technologist,IT,Increasing,High,94728.14,Associate Degree,11,966,3544,88.63,85.98,USA,60.9,2,0.44530728854235285,2
Chartered management accountant,Healthcare,Decreasing,Moderate,101132.45,Bachelor’s Degree,9,5642,6425,89.28,14.94,Australia,30.67,2,0.44529060812259724,0
Child psychotherapist,Education,Decreasing,High,59525.8,PhD,19,8581,5506,59.09,73.16,USA,58.86,2,0.44528692867599595,2
Technical sales engineer,Healthcare,Decreasing,Low,71011.77,Associate Degree,15,1901,8735,53.72,97.86,Germany,26.66,2,0.4452864315122793,2
Animal technologist,Entertainment,Decreasing,High,128019.09,Bachelor’s Degree,18,2523,6700,47.08,51.83,Canada,43.14,2,0.44526962634024775,1
Clinical psychologist,IT,Decreasing,Low,76106.02,PhD,15,4515,9210,67.78,60.81,USA,42.99,2,0.4452340734957242,2
Freight forwarder,Manufacturing,Decreasing,Low,100832.13,High School,9,1195,9582,32.06,22.51,Canada,41.93,2,0.4452103695937719,0
Learning mentor,Education,Decreasing,Moderate,120843.93,High School,8,7706,5042,57.63,72.15,Brazil,25.58,2,0.4451827613506403,2
Commercial/residential surveyor,Education,Increasing,Moderate,148727.86,Bachelor’s Degree,16,535,7777,28.99,96.06,UK,36.93,2,0.4451707455417709,2
Bonds trader,Transportation,Increasing,High,36899.69,Bachelor’s Degree,1,7024,8597,29.39,60.05,China,22.97,2,0.4451497633451193,2
"Engineer, civil (contracting)",Healthcare,Increasing,Moderate,95721.58,Associate Degree,15,3376,2208,52.38,76.93,India,32.69,2,0.445115197204435,2
Haematologist,Entertainment,Increasing,Moderate,54508.2,Master’s Degree,9,5369,9214,60.31,78.62,Canada,38.8,2,0.44509897359059797,2
"Sound technician, broadcasting/film/video",Entertainment,Decreasing,Low,78196.25,Master’s Degree,11,1283,2429,41.08,66.22,Germany,24.18,2,0.445060204388227,2
Chartered certified accountant,Education,Decreasing,Low,82763.45,Bachelor’s Degree,16,1764,6941,77.49,84.46,USA,34.92,2,0.445056489149974,2
"Accountant, chartered certified",IT,Increasing,Moderate,137780.17,High School,13,9692,2103,2.52,34.05,Brazil,23.24,2,0.44505319113756686,1
Town planner,Entertainment,Increasing,High,90756.77,PhD,16,2836,9471,67.72,28.36,India,46.29,2,0.4450290176703215,0
"Teacher, music",Retail,Decreasing,Moderate,80188.04,Associate Degree,16,5512,7730,19.11,60.0,Australia,65.84,2,0.4450002902332496,1
Dance movement psychotherapist,Education,Decreasing,Low,147955.23,Bachelor’s Degree,16,4263,8020,77.22,50.66,China,58.3,2,0.4449776768807625,1
"Engineer, land",Healthcare,Decreasing,Low,125113.78,PhD,7,3728,8128,43.22,61.68,Brazil,44.21,2,0.44494033347271505,2
Environmental health practitioner,Transportation,Decreasing,Moderate,91055.98,PhD,15,4554,6311,20.92,76.38,UK,68.4,2,0.4449066232035342,2
Systems analyst,IT,Increasing,Moderate,89047.07,Master’s Degree,18,3577,6847,98.46,42.38,UK,43.23,2,0.444852385634443,1
Veterinary surgeon,IT,Decreasing,High,54158.29,PhD,16,3368,788,2.88,87.9,UK,76.87,2,0.4448513710976742,2
Brewing technologist,Entertainment,Increasing,Moderate,78650.85,PhD,3,8818,7503,12.17,78.37,USA,28.49,2,0.44484396764298734,2
Armed forces technical officer,Healthcare,Increasing,Moderate,118937.68,Master’s Degree,6,636,2160,44.16,72.0,Canada,37.14,2,0.44482782517346825,2
Architectural technologist,Education,Increasing,Low,63979.83,PhD,11,7206,5151,46.1,61.56,India,40.78,2,0.4448264168010665,2
English as a second language teacher,Transportation,Increasing,Low,71494.91,Bachelor’s Degree,2,6783,9961,53.85,59.32,Canada,21.77,2,0.4448052215480314,1
Theme park manager,Entertainment,Decreasing,High,127257.21,Master’s Degree,7,2608,5169,21.68,64.16,China,38.14,2,0.44479510848950293,2
Manufacturing engineer,Entertainment,Increasing,High,124071.87,High School,11,1615,7377,20.25,93.43,Brazil,66.51,2,0.444783329952833,2
Control and instrumentation engineer,Transportation,Increasing,High,45919.6,Master’s Degree,3,6736,6568,75.16,81.67,UK,36.88,2,0.44476500211272785,2
Quantity surveyor,Education,Decreasing,High,42624.32,High School,8,4126,5643,49.98,3.72,Germany,42.07,2,0.44474637904215736,0
"Education officer, environmental",Retail,Decreasing,High,88833.86,Associate Degree,11,4558,5158,62.61,91.47,India,72.64,2,0.4446616159706554,2
Industrial buyer,Retail,Increasing,Moderate,104881.55,Master’s Degree,17,2730,6896,59.87,9.64,India,44.0,2,0.4446494277576881,0
"Buyer, industrial",Finance,Decreasing,High,119343.32,Bachelor’s Degree,4,7847,6841,13.01,82.65,USA,43.8,2,0.4446216731712842,2
IT sales professional,Retail,Increasing,Moderate,93942.29,Bachelor’s Degree,12,2697,9161,32.62,60.54,Australia,64.43,2,0.4445802273923349,2
Editorial assistant,Retail,Decreasing,Low,129230.41,Bachelor’s Degree,18,1801,4815,44.27,29.94,USA,75.4,2,0.44454645856329494,0
Hydrogeologist,IT,Increasing,High,86069.21,Master’s Degree,11,5584,3812,74.39,99.8,USA,50.99,2,0.44454062865028743,2
Environmental health practitioner,Entertainment,Decreasing,Moderate,86055.22,Associate Degree,11,3779,8605,4.25,74.25,Brazil,61.52,2,0.4445373658699062,2
Financial planner,Entertainment,Decreasing,High,70648.33,Bachelor’s Degree,1,5149,6493,27.32,92.38,China,33.51,2,0.4445220063828482,2
Telecommunications researcher,IT,Decreasing,Moderate,120255.4,Associate Degree,6,5599,8060,93.8,78.93,China,51.38,2,0.4444878622148229,2
Electrical engineer,Education,Decreasing,Moderate,94516.88,High School,8,8168,9549,34.7,73.33,Germany,21.5,2,0.4444797970848538,2
Politician's assistant,Finance,Increasing,High,34744.22,Associate Degree,0,1156,186,9.65,99.42,India,75.9,2,0.44447159063865194,2
Quality manager,Manufacturing,Increasing,Moderate,41578.33,Associate Degree,8,4686,7092,70.49,41.23,USA,39.48,2,0.4444617537218961,1
Research scientist (physical sciences),Education,Decreasing,Low,34768.76,Associate Degree,3,2511,1653,27.68,34.8,USA,27.76,2,0.4444579316683624,1
"Programmer, applications",IT,Increasing,High,139253.44,Associate Degree,4,5247,6124,96.64,57.58,USA,56.42,2,0.44445359278707447,1
Chiropractor,Education,Decreasing,Low,106169.33,High School,20,9648,9135,63.96,60.31,China,73.8,2,0.4444424506579399,2
Diplomatic Services operational officer,Education,Decreasing,Moderate,102838.05,PhD,10,3724,2871,90.45,83.9,Germany,42.38,2,0.44440874788374096,2
Legal secretary,Entertainment,Increasing,Low,122877.63,Bachelor’s Degree,16,6061,1184,6.61,31.51,Germany,69.03,2,0.4443746587892929,1
Telecommunications researcher,Retail,Increasing,Moderate,148394.23,PhD,3,6829,7333,69.56,15.95,UK,34.32,2,0.444360230588329,0
Public affairs consultant,Healthcare,Increasing,High,123009.17,Associate Degree,10,4239,9096,58.21,84.3,Brazil,30.41,2,0.4443594579396745,2
"Sound technician, broadcasting/film/video",Healthcare,Decreasing,High,105905.06,Associate Degree,13,8841,2510,63.85,84.86,China,37.69,2,0.4443527473340095,2
Sports therapist,Retail,Increasing,Low,81000.47,Associate Degree,5,7627,4547,13.18,71.71,UK,48.95,2,0.44432686116464626,2
Architectural technologist,Healthcare,Increasing,Moderate,40893.03,Bachelor’s Degree,20,8363,4878,84.36,73.71,Brazil,44.99,2,0.4443244081869238,2
Advertising account executive,Entertainment,Decreasing,Low,84354.83,Master’s Degree,10,683,8757,57.45,60.4,India,50.67,2,0.44432290471047325,2
"Therapist, nutritional",Manufacturing,Increasing,High,38830.98,Bachelor’s Degree,8,1421,3464,62.32,91.18,UK,49.99,2,0.44429717758183407,2
"Buyer, industrial",Education,Increasing,High,141318.06,Associate Degree,13,1709,9169,32.81,95.19,India,50.69,2,0.4442865910760804,2
Clinical cytogeneticist,Education,Increasing,Moderate,138341.96,PhD,3,8205,3565,59.01,62.1,India,72.97,2,0.44423622518348244,2
Surgeon,Education,Increasing,Moderate,41638.05,Bachelor’s Degree,7,4276,2890,72.72,15.15,UK,23.93,2,0.4442169142781289,0
TEFL teacher,Retail,Decreasing,High,98214.5,Bachelor’s Degree,7,8133,6154,70.49,37.76,Australia,46.63,2,0.44415342168371746,1
Advertising account planner,Transportation,Decreasing,Moderate,104795.18,Master’s Degree,5,5481,7904,19.85,79.31,Canada,68.36,2,0.44414478110763056,2
"Psychologist, educational",Retail,Decreasing,Low,69662.39,Bachelor’s Degree,15,9542,7758,60.74,40.48,India,67.16,2,0.4440903586585706,1
"Engineer, energy",Manufacturing,Decreasing,Moderate,65689.81,Master’s Degree,17,406,4656,69.67,9.64,Brazil,76.69,2,0.4440684010996077,0
"Engineer, aeronautical",Education,Decreasing,Moderate,120929.59,High School,4,1927,3877,77.91,50.56,USA,62.47,2,0.4440445980627145,1
IT consultant,Manufacturing,Decreasing,High,110925.71,Associate Degree,17,6494,6944,58.97,11.34,China,50.43,2,0.44402720857606714,0
Data processing manager,Healthcare,Increasing,Low,37537.46,Master’s Degree,7,5230,7120,84.38,80.69,China,50.29,2,0.4439725080241468,2
Radio broadcast assistant,Education,Increasing,Low,149478.0,PhD,3,1335,9677,44.93,60.12,Australia,77.0,2,0.44395877821012386,2
Interpreter,Healthcare,Increasing,Moderate,142119.29,PhD,6,4431,3860,29.25,96.03,India,69.33,2,0.44395831122657814,2
International aid/development worker,Finance,Decreasing,High,87011.66,Master’s Degree,0,3512,5647,96.65,24.32,Australia,55.33,2,0.4439332906604383,0
"Runner, broadcasting/film/video",Retail,Decreasing,High,30355.94,Associate Degree,17,7034,8197,53.32,61.83,UK,28.63,2,0.44389728685826185,2
Geographical information systems officer,IT,Increasing,Low,44877.05,Master’s Degree,9,4435,6589,97.07,72.68,China,63.4,2,0.443889402008961,2
"Lighting technician, broadcasting/film/video",Manufacturing,Increasing,High,111529.67,Bachelor’s Degree,1,1693,7962,71.65,80.87,Germany,42.35,2,0.4438893823191402,2
Architect,Finance,Increasing,Moderate,118976.77,Bachelor’s Degree,7,8717,3415,14.6,76.17,UK,25.42,2,0.44387245777633705,2
Medical technical officer,Healthcare,Increasing,Low,33256.31,PhD,19,2538,6590,24.69,96.84,India,71.96,2,0.44386306708567635,2
Artist,Transportation,Increasing,Moderate,128695.09,PhD,19,5706,9549,96.11,6.01,Germany,73.26,2,0.443841915811964,0
Meteorologist,Transportation,Decreasing,High,61480.04,Associate Degree,0,1098,1159,33.08,30.22,Germany,34.01,2,0.443840587441879,1
Ecologist,IT,Increasing,Low,86140.56,Bachelor’s Degree,13,803,2439,50.38,99.75,Australia,36.8,2,0.44381626378140726,2
"Psychotherapist, dance movement",Healthcare,Increasing,Moderate,133417.29,High School,15,9558,884,49.91,89.18,China,52.34,2,0.44379111399405086,2
Print production planner,Healthcare,Decreasing,Moderate,51885.17,High School,14,3676,2096,67.18,84.54,China,49.37,2,0.4437575945553179,2
Armed forces training and education officer,Healthcare,Decreasing,High,75523.98,Bachelor’s Degree,6,9023,8489,43.9,71.74,Australia,64.61,2,0.44375155763998125,2
Fisheries officer,Manufacturing,Decreasing,High,133868.36,PhD,20,6163,6973,85.37,27.45,Germany,40.79,2,0.4437315371130112,0
Media planner,Finance,Increasing,Moderate,61637.02,Bachelor’s Degree,11,7664,3120,88.31,77.2,Germany,49.74,2,0.4437213139776836,2
Community education officer,Transportation,Decreasing,Low,80514.24,High School,14,8358,3948,22.07,90.57,India,68.68,2,0.44369981174160417,2
Insurance underwriter,Entertainment,Decreasing,Low,116440.37,Master’s Degree,12,2503,5687,49.7,46.17,UK,64.41,2,0.4436656143746101,1
"Therapist, music",Healthcare,Decreasing,Moderate,66406.24,PhD,20,6385,4882,42.64,60.88,UK,52.9,2,0.4436596435567882,2
Herpetologist,Education,Increasing,Low,36763.75,Associate Degree,18,5828,3627,69.95,5.65,Germany,23.96,2,0.4436538237836408,0
"Research officer, trade union",IT,Decreasing,Moderate,44480.36,High School,4,109,6684,67.65,55.61,UK,50.0,2,0.4436385954690566,1
Press photographer,Healthcare,Decreasing,High,65746.05,Associate Degree,6,2408,4344,23.28,97.85,UK,38.17,2,0.44361709391478726,2
Community pharmacist,Entertainment,Increasing,High,49834.56,Master’s Degree,7,6948,8823,20.57,94.47,Germany,70.27,2,0.4436161781250606,2
Patent attorney,Entertainment,Increasing,High,96494.8,PhD,6,3312,7442,51.48,79.31,China,20.69,2,0.4436011819355412,2
Prison officer,Manufacturing,Decreasing,Low,146635.27,PhD,1,6037,5575,92.65,88.78,Brazil,69.87,2,0.44359754259089634,2
"Research officer, political party",Entertainment,Decreasing,Moderate,33305.04,Bachelor’s Degree,1,5838,6145,52.98,67.87,China,73.76,2,0.4435576290417361,2
Barrister,Manufacturing,Decreasing,High,73607.63,Master’s Degree,14,5504,5242,48.86,32.31,Germany,56.83,2,0.4435244318773125,1
Animator,Entertainment,Increasing,Low,81655.77,Associate Degree,20,1693,829,96.16,46.21,India,32.72,2,0.44351721423303786,1
Chief Executive Officer,Finance,Increasing,Low,147657.83,High School,3,4712,9713,75.71,27.29,Brazil,78.87,2,0.44350761214884366,0
English as a second language teacher,IT,Increasing,Low,88558.47,PhD,17,2650,3406,34.19,44.14,India,58.51,2,0.44348239744300205,1
Chief Executive Officer,Healthcare,Decreasing,Moderate,34622.02,High School,11,2732,9006,58.97,84.62,Germany,40.57,2,0.4434731235243618,2
Naval architect,Education,Increasing,High,122992.43,High School,18,5254,2085,83.87,85.75,Brazil,33.29,2,0.4434720563974447,2
Games developer,Education,Decreasing,Moderate,138098.42,Master’s Degree,9,4444,9636,60.27,5.81,China,46.37,2,0.4434678092641652,0
Cartographer,Retail,Increasing,High,49799.14,High School,9,3625,7948,53.85,85.37,India,50.13,2,0.44345874059619794,2
Personal assistant,Entertainment,Increasing,Moderate,53787.04,Master’s Degree,6,9677,7008,28.59,19.71,China,50.6,2,0.4434354947334098,0
"Engineer, electronics",Education,Decreasing,Moderate,67260.25,PhD,13,1839,1578,94.73,28.36,Germany,79.85,2,0.44337523507225374,0
"Programmer, multimedia",Retail,Increasing,High,83464.77,High School,0,6634,2728,29.55,44.63,Canada,28.8,2,0.4433690284967031,1
Museum/gallery curator,IT,Increasing,Moderate,56551.48,Bachelor’s Degree,5,1169,6163,78.02,6.35,Germany,44.5,2,0.4433418386162732,0
"Designer, interior/spatial",Transportation,Decreasing,High,56419.15,High School,18,1025,2097,72.35,70.24,Germany,20.04,2,0.443335437812169,2
Advertising art director,Entertainment,Decreasing,Moderate,59745.08,PhD,13,1314,9185,3.5,26.99,Canada,31.59,2,0.4433349382132603,0
Clinical cytogeneticist,IT,Decreasing,Moderate,58501.05,Master’s Degree,17,1576,3221,68.47,80.47,Canada,70.69,2,0.44333164197109315,2
"Civil engineer, consulting",Entertainment,Decreasing,Moderate,107244.22,Bachelor’s Degree,9,460,1613,19.79,80.53,India,51.78,2,0.443327433602119,2
Chartered legal executive (England and Wales),Finance,Increasing,Low,81876.15,PhD,13,3247,2958,17.24,97.2,Australia,28.21,2,0.44331324052705623,2
Optometrist,Finance,Decreasing,Low,80819.47,PhD,13,1658,3215,41.71,68.74,UK,36.67,2,0.4432913400627889,2
Chief of Staff,Education,Increasing,High,46494.77,High School,12,676,5982,93.96,3.87,Brazil,56.76,2,0.4432866878261849,0
Furniture designer,Healthcare,Increasing,High,99771.2,Master’s Degree,10,4199,9157,36.01,1.56,USA,79.39,2,0.44327903302072097,0
Financial trader,Transportation,Increasing,Moderate,91816.5,Master’s Degree,12,7292,8229,28.47,47.13,USA,47.4,2,0.4432575209137427,1
Art gallery manager,Healthcare,Increasing,High,45560.18,Master’s Degree,20,6281,4027,12.46,18.77,UK,78.8,2,0.4432339690928012,0
Paediatric nurse,Entertainment,Increasing,Low,71460.62,Bachelor’s Degree,2,8023,2757,41.09,84.31,USA,47.82,2,0.4432256181735312,2
Chief Operating Officer,Entertainment,Decreasing,Low,65952.6,Associate Degree,7,8590,2287,87.91,41.45,USA,70.18,2,0.4432220167560622,1
Commercial/residential surveyor,IT,Increasing,Low,39755.32,Master’s Degree,19,5968,6278,13.81,77.3,UK,79.16,2,0.44320858831782994,2
Adult nurse,Finance,Increasing,High,57878.47,Master’s Degree,0,5164,3958,74.49,28.96,China,72.96,2,0.4431899293902088,0
Chartered management accountant,Healthcare,Decreasing,High,140138.23,Associate Degree,16,7408,8287,47.74,63.86,Germany,34.54,2,0.44318830326477865,2
Brewing technologist,Transportation,Increasing,High,88170.6,Bachelor’s Degree,9,5596,3171,41.13,69.98,UK,20.95,2,0.4431616435067619,2
English as a second language teacher,Healthcare,Increasing,High,33589.38,Associate Degree,19,5539,1418,50.25,89.74,Germany,37.11,2,0.4431475400452586,2
Psychiatric nurse,Retail,Decreasing,Low,56514.71,PhD,4,4691,6803,19.3,66.26,China,45.43,2,0.4431456096861977,2
Financial risk analyst,Transportation,Increasing,Low,110729.66,Bachelor’s Degree,1,9513,1717,37.1,71.31,China,33.93,2,0.4431382961415177,2
Education administrator,Finance,Increasing,Low,88383.13,Associate Degree,9,2353,9922,13.43,82.6,Australia,48.34,2,0.44311726666913903,2
"Engineer, civil (consulting)",Manufacturing,Increasing,Moderate,67235.48,Bachelor’s Degree,2,3665,4376,50.17,99.45,India,58.01,2,0.4431171940809714,2
